Unnamed: 0,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Real Face,Position,Release Clause,Wage_ok
21,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,4.0,4.0,3.0,High/ High,Yes,LS,€111M,200000
22,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,€130K,5.0,4.0,1.0,Medium/ Medium,Yes,GK,€62.7M,130000
23,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,4.0,4.0,4.0,High/ Medium,Yes,ST,€119.3M,300000
24,G. Chiellini,33,Italy,89,89,Juventus,€27M,€215K,4.0,3.0,2.0,Medium/ High,Yes,LCB,€44.6M,215000
25,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,€100K,3.0,4.0,5.0,High/ Medium,Yes,RM,€166.1M,100000
26,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,€255K,3.0,3.0,4.0,High/ Medium,Yes,RM,€137.3M,255000
27,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,€285K,3.0,3.0,2.0,Medium/ High,Yes,CDM,€126.4M,285000
29,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,3.0,3.0,4.0,High/ Medium,Yes,LW,€105.4M,1
30,Isco,26,Spain,88,91,Real Madrid,€73.5M,€315K,3.0,3.0,4.0,High/ Medium,Yes,LW,€156.2M,1
31,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,€205K,3.0,5.0,4.0,High/ Medium,Yes,CAM,€141.5M,1
32,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,€340K,3.0,4.0,5.0,High/ High,Yes,LW,€147.7M,1
33,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,3.0,4.0,4.0,Medium/ Low,Yes,LM,€112.1M,1
34,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,4.0,3.0,3.0,High/ Medium,Yes,LCB,€75.9M,1
35,Marcelo,30,Brazil,88,88,Real Madrid,€43M,€285K,4.0,4.0,5.0,High/ Low,Yes,LB,€88.2M,1
36,G. Bale,28,Wales,88,88,Real Madrid,€60M,€355K,4.0,3.0,4.0,High/ Medium,Yes,ST,€123M,1
37,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,4.0,1.0,1.0,Medium/ Medium,Yes,GK,€66.6M,1
39,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,4.0,3.0,2.0,Medium/ High,Yes,RCB,€44.4M,1
40,S. Handanovič,33,Slovenia,88,88,Inter,€30M,€110K,3.0,2.0,1.0,Medium/ Medium,Yes,GK,€51M,1
41,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,€77K,4.0,2.0,1.0,Medium/ Medium,Yes,GK,€7.4M,1
42,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,3.0,3.0,2.0,Medium/ High,Yes,CB,€121.1M,1
43,M. Icardi,25,Argentina,87,90,Inter,€64.5M,€130K,3.0,4.0,3.0,Medium/ Low,Yes,ST,€114.5M,1
44,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,€115K,3.0,3.0,2.0,High/ High,Yes,LCB,€90.5M,1
45,P. Pogba,25,France,87,91,Manchester United,€64M,€210K,4.0,4.0,5.0,High/ Low,Yes,RDM,€123.2M,1
46,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,3.0,3.0,1.0,Medium/ Medium,Yes,GK,€62.5M,1
47,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,€230K,3.0,3.0,3.0,Medium/ Medium,Yes,ST,€120.3M,1
48,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,3.0,4.0,3.0,High/ Medium,Yes,ST,€88.4M,1
49,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,3.0,3.0,3.0,High/ Medium,Yes,LB,€77.9M,1
50,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,3.0,4.0,4.0,High/ Low,Yes,RF,€76.5M,1
51,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,3.0,3.0,3.0,High/ High,Yes,LCB,€62.9M,1
52,M. Hamšík,30,Slovakia,87,87,Napoli,€46.5M,€125K,3.0,5.0,3.0,High/ Medium,Yes,LCM,€79.1M,1
53,I. Rakitić,30,Croatia,87,87,FC Barcelona,€46.5M,€260K,4.0,3.0,3.0,High/ High,Yes,RCM,€95.3M,1
54,Piqué,31,Spain,87,87,FC Barcelona,€34M,€240K,4.0,3.0,2.0,High/ Medium,Yes,RCB,€69.7M,1
55,L. Sané,22,Germany,86,92,Manchester City,€61M,€195K,2.0,3.0,4.0,High/ Medium,Yes,LW,€125.1M,1
56,Bernardo Silva,23,Portugal,86,91,Manchester City,€59.5M,€180K,2.0,3.0,4.0,High/ Medium,Yes,RW,€114.5M,1
57,Ederson,24,Brazil,86,90,Manchester City,€41.5M,€125K,2.0,3.0,1.0,Medium/ Medium,Yes,GK,€79.9M,1
58,S. Mané,26,Senegal,86,87,Liverpool,€52M,€195K,3.0,4.0,4.0,High/ Medium,Yes,LM,€102.7M,1
59,V. van Dijk,26,Netherlands,86,88,Liverpool,€44.5M,€165K,3.0,3.0,2.0,Medium/ Medium,Yes,LCB,€87.9M,1
60,R. Sterling,23,England,86,89,Manchester City,€56.5M,€195K,3.0,3.0,4.0,High/ Medium,Yes,RW,€108.8M,1
61,Roberto Firmino,26,Brazil,86,87,Liverpool,€53M,€195K,3.0,4.0,4.0,High/ High,Yes,CAM,€104.7M,1
62,R. Varane,25,France,86,91,Real Madrid,€50M,€210K,3.0,3.0,2.0,Medium/ High,Yes,RCB,€106.3M,1
63,M. Verratti,25,Italy,86,89,Paris Saint-Germain,€55M,€135K,3.0,4.0,4.0,Medium/ High,Yes,LCM,€105.9M,1
64,Alex Sandro,27,Brazil,86,86,Juventus,€36.5M,€160K,3.0,3.0,3.0,High/ High,Yes,LB,€60.2M,1
65,Douglas Costa,27,Brazil,86,86,Juventus,€46.5M,€175K,3.0,3.0,5.0,High/ Medium,Yes,LM,€76.7M,1
66,T. Müller,28,Germany,86,86,FC Bayern München,€45M,€135K,4.0,4.0,3.0,High/ High,Yes,CAM,€74.3M,1
67,Thiago,27,Spain,86,86,FC Bayern München,€45.5M,€130K,3.0,3.0,5.0,Medium/ Medium,Yes,CM,€75.1M,1
68,M. Reus,29,Germany,86,86,Borussia Dortmund,€43.5M,€100K,4.0,4.0,4.0,High/ Medium,Yes,LM,€74M,1
69,Azpilicueta,28,Spain,86,86,Chelsea,€35M,€175K,3.0,3.0,2.0,Medium/ Medium,Yes,RB,€64.8M,1
70,L. Bonucci,31,Italy,86,86,Juventus,€30M,€160K,3.0,3.0,2.0,Low/ High,Yes,RCB,€49.5M,1
71,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,€39M,€150K,3.0,3.0,2.0,Medium/ Medium,Yes,RCB,€75.1M,1
72,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,€44M,€180K,3.0,4.0,3.0,Medium/ Medium,Yes,CDM,€72.6M,1
73,M. Benatia,31,Morocco,86,86,Juventus,€30M,€160K,3.0,3.0,2.0,Medium/ High,Yes,CB,€49.5M,1
74,M. Özil,29,Germany,86,86,Arsenal,€43.5M,€190K,4.0,2.0,4.0,Medium/ Low,Yes,CAM,€82.7M,1
75,Fernandinho,33,Brazil,86,86,Manchester City,€18M,€185K,3.0,4.0,3.0,Medium/ High,Yes,CDM,€33.3M,1
76,Iniesta,34,Spain,86,86,Vissel Kobe,€21.5M,€21K,4.0,4.0,4.0,High/ Medium,Yes,LF,€26.9M,1
77,M. Škriniar,23,Slovakia,85,92,Inter,€46.5M,€82K,1.0,4.0,2.0,Medium/ High,No,LCB,€88.4M,1
78,S. Milinković-Savić,23,Serbia,85,90,Lazio,€50.5M,€73K,2.0,4.0,4.0,High/ Medium,Yes,CM,€89.6M,1
79,Marco Asensio,22,Spain,85,92,Real Madrid,€54M,€215K,3.0,3.0,4.0,High/ Medium,Yes,RW,€121.5M,1
80,N. Fekir,24,France,85,89,Olympique Lyonnais,€50M,€92K,3.0,3.0,4.0,High/ Medium,Yes,CAM,€98.8M,1
81,Alisson,25,Brazil,85,90,Liverpool,€36.5M,€115K,3.0,3.0,1.0,Medium/ Medium,Yes,GK,€72.1M,1
82,J. Kimmich,23,Germany,85,88,FC Bayern München,€40.5M,€92K,3.0,4.0,3.0,High/ Low,Yes,RCM,€69.9M,1
83,Saúl,23,Spain,85,90,Atlético Madrid,€50.5M,€77K,3.0,4.0,3.0,High/ High,Yes,RCM,€107.3M,1
84,R. Mahrez,27,Algeria,85,85,Manchester City,€40.5M,€205K,3.0,4.0,5.0,Medium/ Medium,Yes,RW,€74.9M,1
85,D. Alaba,26,Austria,85,87,FC Bayern München,€38M,€110K,4.0,4.0,3.0,High/ Medium,Yes,LB,€65.6M,1
86,Koke,26,Spain,85,86,Atlético Madrid,€45M,€88K,3.0,4.0,3.0,High/ High,Yes,LM,€95.6M,1
87,A. Lacazette,27,France,85,86,Arsenal,€45M,€180K,3.0,4.0,4.0,High/ High,Yes,ST,€88.9M,1
88,K. Manolas,27,Greece,85,87,Roma,€37.5M,€96K,3.0,2.0,2.0,Low/ High,No,LCB,€66.6M,1
89,N. Otamendi,30,Argentina,85,85,Manchester City,€28.5M,€170K,3.0,3.0,2.0,High/ High,Yes,CB,€52.7M,1
90,Parejo,29,Spain,85,85,Valencia CF,€37M,€66K,2.0,4.0,3.0,Medium/ Low,Yes,RCM,€77.7M,1
92,W. Szczęsny,28,Poland,85,87,Juventus,€32M,€125K,3.0,3.0,1.0,Medium/ Medium,Yes,GK,€55.2M,1
93,A. Sánchez,29,Chile,85,85,Manchester United,€37.5M,€215K,4.0,3.0,4.0,High/ High,Yes,RW,€69.4M,1
94,Y. Brahimi,28,Algeria,85,85,FC Porto,€39M,€28K,3.0,3.0,4.0,High/ Medium,No,LM,€78M,1
95,J. Boateng,29,Germany,85,85,FC Bayern München,€30M,€115K,4.0,4.0,2.0,Medium/ Medium,Yes,RCB,€49.5M,1
96,A. Vidal,31,Chile,85,85,FC Barcelona,€26M,€205K,4.0,4.0,3.0,Medium/ Medium,Yes,CAM,€53.3M,1
97,I. Perišić,29,Croatia,85,85,Inter,€37.5M,€110K,3.0,5.0,4.0,Medium/ Medium,Yes,LM,€63.8M,1
98,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,€30.5M,€115K,3.0,5.0,2.0,Medium/ Medium,Yes,ST,€51.9M,1
99,S. Khedira,31,Germany,85,85,Juventus,€33M,€160K,3.0,4.0,2.0,High/ High,Yes,RCM,€54.5M,1
100,Diego Costa,29,Spain,85,85,Atlético Madrid,€38.5M,€100K,4.0,4.0,2.0,High/ Medium,Yes,LS,€78.9M,1
101,R. Nainggolan,30,Belgium,85,85,Inter,€35.5M,€105K,3.0,3.0,3.0,High/ High,Yes,CAM,€60.4M,1
102,Naldo,35,Brazil,85,85,FC Schalke 04,€9M,€38K,3.0,4.0,2.0,Medium/ Medium,No,CB,€15.3M,1
103,B. Matuidi,31,France,85,85,Juventus,€26M,€145K,3.0,2.0,2.0,High/ High,Yes,LM,€42.9M,1
104,Miranda,33,Brazil,85,85,Inter,€15.5M,€96K,3.0,3.0,2.0,Medium/ High,Yes,CB,€26.4M,1
105,K. Benzema,30,France,85,85,Real Madrid,€37M,€240K,4.0,4.0,4.0,Medium/ Low,Yes,ST,€75.9M,1
106,Filipe Luís,32,Brazil,85,85,Atlético Madrid,€21.5M,€81K,3.0,3.0,3.0,High/ Medium,Yes,LB,€44.1M,1
107,V. Kompany,32,Belgium,85,85,Manchester City,€22M,€170K,4.0,3.0,2.0,Medium/ High,Yes,CB,€40.7M,1
108,Pepe,35,Portugal,85,85,Beşiktaş JK,€9M,€57K,4.0,3.0,2.0,Medium/ High,Yes,RCB,€17.1M,1
109,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,€14M,€15K,5.0,4.0,5.0,Medium/ Low,Yes,RS,€21M,1
110,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,€34M,€105K,2.0,3.0,2.0,Medium/ High,Yes,RCB,€65.5M,1
111,J. Giménez,23,Uruguay,84,88,Atlético Madrid,€34M,€63K,2.0,3.0,2.0,Medium/ High,Yes,RCB,€72.3M,1
112,Alex Telles,25,Brazil,84,87,FC Porto,€32M,€22K,3.0,2.0,3.0,High/ Medium,Yes,LB,€66.4M,1
113,A. Laporte,24,France,84,88,Manchester City,€34M,€135K,2.0,3.0,2.0,Medium/ Medium,Yes,LCB,€65.5M,1
114,Bruno Fernandes,23,Portugal,84,88,Sporting CP,€40.5M,€22K,2.0,3.0,4.0,High/ Medium,No,LCM,€84M,1
115,N. Süle,22,Germany,84,90,FC Bayern München,€36.5M,€84K,2.0,3.0,2.0,Medium/ Medium,No,CB,€67.5M,1
116,A. Martial,22,France,84,90,Manchester United,€42.5M,€165K,3.0,3.0,4.0,Medium/ Medium,Yes,LW,€87.1M,1
117,D. Alli,22,England,84,90,Tottenham Hotspur,€42.5M,€115K,3.0,3.0,4.0,High/ High,Yes,LCM,€87.1M,1
118,Fabinho,24,Brazil,84,88,Liverpool,€34M,€120K,3.0,2.0,3.0,Medium/ Medium,No,CDM,€67.2M,1
119,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,€35.5M,€90K,3.0,3.0,2.0,Medium/ Medium,Yes,LDM,€68.3M,1
120,William Carvalho,26,Portugal,84,86,Real Betis,€31.5M,€38K,3.0,4.0,3.0,Medium/ Medium,Yes,CDM,€68.5M,1
121,Jorginho,26,Italy,84,87,Chelsea,€38M,€155K,2.0,3.0,3.0,Medium/ Medium,No,CM,€73.2M,1
122,F. Thauvin,25,France,84,87,Olympique de Marseille,€39M,€72K,2.0,3.0,4.0,High/ Medium,Yes,RM,€77M,1
123,Carvajal,26,Spain,84,87,Real Madrid,€31.5M,€185K,3.0,3.0,3.0,High/ High,Yes,RB,€66.9M,1
124,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,€42M,€93K,3.0,3.0,5.0,High/ Low,Yes,ST,€83M,1
125,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,€37M,€125K,3.0,5.0,4.0,High/ High,Yes,LM,€71.2M,1
126,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,€25M,€72K,2.0,2.0,1.0,Medium/ Medium,Yes,GK,€49.4M,1
127,S. de Vrij,26,Netherlands,84,86,Inter,€31.5M,€88K,3.0,4.0,2.0,Medium/ High,No,CB,€55.9M,1
128,M. Perin,25,Italy,84,89,Juventus,€29.5M,€105K,2.0,3.0,1.0,Medium/ Medium,No,GK,€50.9M,1
129,J. Cuadrado,30,Colombia,84,84,Juventus,€29.5M,€150K,3.0,3.0,5.0,High/ Medium,Yes,RAM,€48.7M,1
130,Iago Aspas,30,Spain,84,84,RC Celta,€30M,€45K,2.0,3.0,3.0,High/ High,Yes,ST,€63M,1
131,B. Leno,26,Germany,84,87,Arsenal,€27M,€115K,3.0,4.0,1.0,Medium/ Medium,No,GK,€53.3M,1
132,N. Matić,29,Serbia,84,84,Manchester United,€24M,€165K,3.0,3.0,3.0,Medium/ High,Yes,CDM,€44.4M,1
133,L. Hrádecký,28,Finland,84,84,Bayer 04 Leverkusen,€22M,€74K,2.0,3.0,1.0,Medium/ Medium,No,GK,€37.4M,1
134,Illarramendi,28,Spain,84,84,Real Sociedad,€31M,€51K,2.0,3.0,4.0,Medium/ High,Yes,RDM,€65.1M,1
135,K. Walker,28,England,84,84,Manchester City,€24.5M,€165K,3.0,2.0,2.0,High/ High,Yes,RB,€45.3M,1
136,I. Gündoğan,27,Germany,84,84,Manchester City,€32M,€175K,3.0,4.0,4.0,High/ Medium,Yes,CM,€59.2M,1
137,José Callejón,31,Spain,84,84,Napoli,€27.5M,€105K,3.0,3.0,3.0,High/ High,Yes,RM,€46.8M,1
138,A. Di María,30,Argentina,84,84,Paris Saint-Germain,€29.5M,€125K,4.0,2.0,5.0,High/ Medium,Yes,RM,€54.6M,1
139,M. Mandžukić,32,Croatia,84,84,Juventus,€25M,€160K,3.0,3.0,3.0,High/ High,Yes,ST,€41.3M,1
140,Willian,29,Brazil,84,84,Chelsea,€30.5M,€175K,3.0,4.0,4.0,High/ High,Yes,RW,€56.4M,1
141,Sergio Asenjo,29,Spain,84,85,Villarreal CF,€24M,€42K,2.0,3.0,1.0,Medium/ Medium,No,GK,€52.2M,1
142,E. Banega,30,Argentina,84,84,Sevilla FC,€29M,€31K,3.0,4.0,4.0,Medium/ Medium,Yes,CDM,€60.9M,1
143,A. Witsel,29,Belgium,84,84,Borussia Dortmund,€24M,€77K,3.0,4.0,4.0,Medium/ Medium,No,LCM,€40.8M,1
144,D. Payet,31,France,84,84,Olympique de Marseille,€27.5M,€75K,3.0,4.0,4.0,High/ Low,Yes,CAM,€52.3M,1
145,Jonas,34,Brazil,84,84,SL Benfica,€16.5M,€25K,3.0,5.0,3.0,High/ Medium,Yes,ST,€33M,1
146,Sokratis,30,Greece,84,84,Arsenal,€23M,€140K,3.0,2.0,2.0,Medium/ High,Yes,RCB,€43.7M,1
147,S. Ruffier,31,France,84,84,AS Saint-Étienne,€19M,€41K,3.0,3.0,1.0,Medium/ Medium,No,GK,€36.1M,1
148,Falcao,32,Colombia,84,84,AS Monaco,€25M,€115K,3.0,4.0,3.0,High/ Medium,Yes,RS,€47.5M,1
149,K. Schmeichel,31,Denmark,84,84,Leicester City,€19M,€78K,2.0,3.0,1.0,Medium/ Medium,Yes,GK,€36.1M,1
150,Raúl Albiol,32,Spain,84,84,Napoli,€18M,€88K,3.0,3.0,2.0,Low/ High,Yes,RCB,€30.6M,1
151,A. Gómez,30,Argentina,84,84,Atalanta,€30M,€53K,3.0,4.0,4.0,High/ Medium,No,LS,€51M,1
152,A. Barzagli,37,Italy,84,84,Juventus,€4.2M,€95K,3.0,3.0,2.0,Low/ High,Yes,CB,€6.9M,1
153,Quaresma,34,Portugal,84,84,Beşiktaş JK,€15.5M,€80K,3.0,4.0,5.0,High/ Low,Yes,RM,€29.5M,1
154,A. Robben,34,Netherlands,84,84,FC Bayern München,€15.5M,€110K,4.0,2.0,4.0,High/ Low,Yes,RM,€25.6M,1
155,O. Dembélé,21,France,83,92,FC Barcelona,€40M,€155K,3.0,5.0,4.0,High/ Low,Yes,RW,€90M,1
156,Gabriel Jesus,21,Brazil,83,92,Manchester City,€41M,€130K,2.0,3.0,4.0,High/ High,Yes,ST,€84.1M,1
157,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,€28M,€51K,1.0,4.0,4.0,High/ Medium,No,RW,€50.4M,1
158,Josué Chiamulera,26,Brazil,83,83,Grêmio,€22.5M,€43K,1.0,3.0,2.0,Medium/ Medium,No,LCB,€40.5M,1
159,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,€28.5M,€60K,1.0,3.0,4.0,High/ Low,No,ST,€54.2M,1
160,P. Kimpembe,22,France,83,89,Paris Saint-Germain,€30.5M,€82K,2.0,3.0,3.0,High/ High,Yes,LCB,€62.5M,1
161,N. Keïta,23,Guinea,83,88,Liverpool,€34M,€120K,2.0,4.0,4.0,High/ Medium,Yes,CM,€67.2M,1
162,C. Tolisso,23,France,83,88,FC Bayern München,€34M,€85K,2.0,3.0,3.0,High/ Medium,Yes,CM,€58.7M,1
163,T. Lemar,22,France,83,89,Atlético Madrid,€35.5M,€64K,3.0,2.0,4.0,High/ Medium,Yes,LM,€79.9M,1
164,K. Coman,22,France,83,87,FC Bayern München,€34M,€85K,2.0,3.0,5.0,Medium/ Low,Yes,LM,€58.7M,1
165,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,€29.5M,€67K,2.0,4.0,2.0,Medium/ Medium,No,CB,€52.4M,1
167,T. Werner,22,Germany,83,87,RB Leipzig,€34.5M,€70K,3.0,4.0,3.0,High/ Medium,Yes,RW,€61.2M,1
168,A. Rabiot,23,France,83,87,Paris Saint-Germain,€33M,€91K,2.0,3.0,3.0,High/ Medium,Yes,CM,€63.5M,1
169,L. Goretzka,23,Germany,83,88,FC Bayern München,€34M,€85K,3.0,4.0,3.0,High/ High,Yes,CM,€58.7M,1
170,Q. Promes,26,Netherlands,83,84,Sevilla FC,€30.5M,€28K,2.0,4.0,5.0,High/ Low,No,RM,€66.3M,1
171,H. Ziyech,25,Morocco,83,86,Ajax,€32.5M,€28K,3.0,2.0,4.0,High/ High,Yes,RAM,€47.9M,1
172,Lucas Vázquez,27,Spain,83,83,Real Madrid,€27M,€205K,2.0,4.0,4.0,High/ High,Yes,RW,€55.4M,1
173,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,€33M,€20K,3.0,4.0,4.0,High/ Medium,Yes,LM,€73.4M,1
174,Gerard Moreno,26,Spain,83,85,Villarreal CF,€32M,€53K,1.0,4.0,4.0,High/ Medium,Yes,LS,€69.6M,1
175,Felipe,29,Brazil,83,83,FC Porto,€20M,€22K,3.0,3.0,2.0,Medium/ High,No,RCB,€40M,1
177,Kepa,23,Spain,83,91,Chelsea,€28.5M,€84K,1.0,4.0,1.0,Medium/ Medium,Yes,GK,€58.4M,1
178,Manu Trigueros,26,Spain,83,84,Villarreal CF,€30M,€49K,2.0,4.0,4.0,Medium/ Medium,Yes,RCM,€65.3M,1
179,S. Gnabry,22,Germany,83,88,FC Bayern München,€34.5M,€85K,2.0,4.0,4.0,High/ Medium,Yes,ST,€59.5M,1
180,J. Pickford,24,England,83,88,Everton,€25M,€78K,1.0,4.0,1.0,Medium/ Medium,Yes,GK,€49.4M,1
181,S. Savić,27,Montenegro,83,86,Atlético Madrid,€26M,€67K,2.0,3.0,2.0,Medium/ High,Yes,CB,€55.3M,1
182,J. Stones,24,England,83,87,Manchester City,€28.5M,€125K,2.0,4.0,3.0,High/ Medium,Yes,RCB,€54.9M,1
183,Suso,24,Spain,83,86,Milan,€33M,€115K,3.0,3.0,4.0,High/ Medium,No,RW,€58.6M,1
184,J. Draxler,24,Germany,83,86,Paris Saint-Germain,€32.5M,€91K,3.0,5.0,4.0,Medium/ Medium,Yes,CM,€62.6M,1
185,Felipe Anderson,25,Brazil,83,85,West Ham United,€31.5M,€110K,3.0,4.0,4.0,High/ Medium,No,LM,€62.2M,1
186,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,€31M,€115K,3.0,3.0,4.0,High/ Medium,Yes,RM,€59.7M,1
187,Danilo Pereira,26,Portugal,83,86,FC Porto,€27M,€21K,3.0,3.0,3.0,Medium/ High,No,CDM,€56M,1
188,Nacho Fernández,28,Spain,83,85,Real Madrid,€24.5M,€180K,2.0,4.0,2.0,Medium/ High,Yes,CB,€52.1M,1
189,T. Horn,25,Germany,83,87,1. FC Köln,€24M,€25K,2.0,3.0,1.0,Medium/ Medium,No,GK,€37.8M,1
190,Allan,27,Brazil,83,83,Napoli,€26.5M,€87K,2.0,3.0,4.0,Medium/ High,No,RCM,€45.1M,1
191,F. Acerbi,30,Italy,83,83,Lazio,€19M,€64K,2.0,3.0,3.0,Medium/ Medium,No,CB,€32.3M,1
192,Sergi Roberto,26,Spain,83,86,FC Barcelona,€26.5M,€170K,3.0,3.0,4.0,High/ High,Yes,RB,€56.3M,1
193,Rodrigo,27,Spain,83,84,Valencia CF,€30.5M,€57K,2.0,3.0,4.0,High/ Medium,Yes,ST,€66.3M,1
194,Pizzi,28,Portugal,83,83,SL Benfica,€25.5M,€22K,3.0,4.0,3.0,High/ Medium,No,LCM,€51M,1
195,K. Kampl,27,Slovenia,83,83,RB Leipzig,€26.5M,€74K,2.0,4.0,3.0,High/ High,Yes,LCM,€45.1M,1
196,Neto,28,Brazil,83,84,Valencia CF,€21M,€41K,2.0,2.0,1.0,Medium/ Medium,Yes,GK,€45.7M,1
197,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,€21M,€42K,2.0,1.0,1.0,Medium/ Medium,No,GK,€37.3M,1
198,I. Gueye,28,Senegal,83,83,Everton,€21M,€125K,2.0,3.0,3.0,Medium/ High,Yes,RDM,€39.9M,1
199,H. Mkhitaryan,29,Armenia,83,83,Arsenal,€25.5M,€145K,3.0,5.0,4.0,Medium/ Medium,Yes,RM,€48.5M,1
200,Marcos Alonso,27,Spain,83,84,Chelsea,€24M,€130K,2.0,3.0,3.0,High/ Low,Yes,LB,€46.2M,1
201,D. Subašić,33,Croatia,83,83,AS Monaco,€13M,€70K,3.0,2.0,1.0,Medium/ Medium,No,GK,€24.7M,1
